[2026-01-13 03:27:38] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:30:39] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:33:40] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:36:41] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:39:42] temp=19.00°C, ip=10.129.8.25
[2026-01-13 03:42:43] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:45:44] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:48:45] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:51:46] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:54:47] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:57:48] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:00:51] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:03:50] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:06:51] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:09:52] temp=22.00°C, ip=10.129.8.25
[2026-01-13 04:12:53] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:15:54] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:18:55] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:21:56] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:24:57] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:27:58] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:30:59] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:34:00] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:37:01] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:40:02] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:43:03] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:46:04] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:49:05] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:52:06] temp=21.00°C, ip=10.129.8.25
[2026-01-13 04:55:07] temp=20.00°C, ip=10.129.8.25
[2026-01-13 04:58:08] temp=19.00°C, ip=10.129.8.25
[2026-01-13 05:01:11] temp=20.00°C, ip=10.129.8.25
[2026-01-13 05:04:10] temp=19.00°C, ip=10.129.8.25
[2026-01-13 05:07:11] temp=21.00°C, ip=10.129.8.25
[2026-01-13 05:10:12] temp=21.00°C, ip=10.129.8.25
[2026-01-13 05:13:13] temp=21.00°C, ip=10.129.8.25
[2026-01-13 05:16:14] temp=20.00°C, ip=10.129.8.25
[2026-01-13 05:19:15] temp=21.00°C, ip=10.129.8.25
[2026-01-13 05:22:16] temp=20.00°C, ip=10.129.8.25
[2026-01-13 05:25:17] temp=20.00°C, ip=10.129.8.25
[2026-01-13 05:28:18] temp=23.00°C, ip=10.129.8.25
[2026-01-13 05:31:19] temp=25.00°C, ip=10.129.8.25
[2026-01-13 05:34:20] temp=25.00°C, ip=10.129.8.25
[2026-01-13 05:37:21] temp=24.00°C, ip=10.129.8.25
[2026-01-13 05:40:22] temp=24.00°C, ip=10.129.8.25
[2026-01-13 05:43:23] temp=23.00°C, ip=10.129.8.25
[2026-01-13 05:46:24] temp=23.00°C, ip=10.129.8.25
[2026-01-13 05:49:25] temp=23.00°C, ip=10.129.8.25
[2026-01-13 05:52:26] temp=23.00°C, ip=10.129.8.25
[2026-01-13 05:55:27] temp=22.00°C, ip=10.129.8.25
[2026-01-13 05:58:28] temp=22.00°C, ip=10.129.8.25
[2026-01-13 06:01:31] temp=22.00°C, ip=10.129.8.25
[2026-01-13 06:04:30] temp=22.00°C, ip=10.129.8.25
[2026-01-13 06:07:31] temp=21.00°C, ip=10.129.8.25
[2026-01-13 06:10:32] temp=20.00°C, ip=10.129.8.25
[2026-01-13 06:13:33] temp=21.00°C, ip=10.129.8.25
[2026-01-13 06:16:34] temp=21.00°C, ip=10.129.8.25
[2026-01-13 06:19:35] temp=21.00°C, ip=10.129.8.25
[2026-01-13 06:22:36] temp=21.00°C, ip=10.129.8.25
[2026-01-13 06:25:37] temp=21.00°C, ip=10.129.8.25
[2026-01-13 06:28:38] temp=21.00°C, ip=10.129.8.25
[2026-01-13 06:31:39] temp=21.00°C, ip=10.129.8.25
[2026-01-13 06:34:40] temp=21.00°C, ip=10.129.8.25
[2026-01-13 06:37:41] temp=20.00°C, ip=10.129.8.25
[2026-01-13 06:40:42] temp=20.00°C, ip=10.129.8.25
[2026-01-13 06:43:43] temp=20.00°C, ip=10.129.8.25
[2026-01-13 06:46:44] temp=20.00°C, ip=10.129.8.25
[2026-01-13 06:49:45] temp=20.00°C, ip=10.129.8.25
[2026-01-13 06:52:46] temp=20.00°C, ip=10.129.8.25
[2026-01-13 06:55:47] temp=20.00°C, ip=10.129.8.25
[2026-01-13 06:58:48] temp=20.00°C, ip=10.129.8.25
[2026-01-13 07:01:51] temp=20.00°C, ip=10.129.8.25
[2026-01-13 07:04:50] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:07:51] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:10:52] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:13:53] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:16:54] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:19:55] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:22:56] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:25:57] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:28:58] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:31:59] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:35:00] temp=18.00°C, ip=10.129.8.25
[2026-01-13 07:38:01] temp=18.00°C, ip=10.129.8.25
[2026-01-13 07:41:02] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:44:03] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:47:04] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:50:05] temp=18.00°C, ip=10.129.8.25
[2026-01-13 07:53:06] temp=18.00°C, ip=10.129.8.25
[2026-01-13 07:56:07] temp=19.00°C, ip=10.129.8.25
[2026-01-13 07:59:08] temp=19.00°C, ip=10.129.8.25
[2026-01-13 08:01:03] temp=18.00°C, ip=10.129.29.253
[2026-01-13 08:02:07] temp=18.00°C, ip=10.129.8.25
[2026-01-13 08:04:07] temp=19.00°C, ip=10.129.29.253
[2026-01-13 08:05:08] temp=19.00°C, ip=10.129.8.25
[2026-01-13 08:07:05] temp=18.00°C, ip=10.129.29.253
[2026-01-13 08:08:08] temp=19.00°C, ip=10.129.8.25
[2026-01-13 08:10:05] temp=19.00°C, ip=10.129.29.253
[2026-01-13 08:11:08] temp=19.00°C, ip=10.129.8.25
[2026-01-13 08:13:09] temp=19.00°C, ip=10.129.29.253
[2026-01-13 08:14:08] temp=19.00°C, ip=10.129.8.25
[2026-01-13 08:16:09] temp=19.00°C, ip=10.129.29.253
[2026-01-13 08:17:08] temp=19.00°C, ip=10.129.8.25
[2026-01-13 08:20:08] temp=19.00°C, ip=10.129.8.25
[2026-01-13 08:23:08] temp=19.00°C, ip=10.129.8.25
[2026-01-13 08:26:08] temp=20.00°C, ip=10.129.8.25
[2026-01-13 08:29:08] temp=20.00°C, ip=10.129.8.25
[2026-01-13 08:32:08] temp=20.00°C, ip=10.129.8.25
[2026-01-13 08:35:09] temp=19.00°C, ip=10.129.8.25
[2026-01-13 08:36:33] temp=20.00°C, ip=10.129.29.253
[2026-01-13 08:40:10] temp=20.00°C, ip=10.129.8.25
[2026-01-13 08:41:34] temp=20.00°C, ip=10.129.29.253
[2026-01-13 08:45:11] temp=20.00°C, ip=10.129.8.25
[2026-01-13 08:46:35] temp=20.00°C, ip=10.129.29.253
[2026-01-13 08:50:12] temp=20.00°C, ip=10.129.8.25
[2026-01-13 08:55:13] temp=20.00°C, ip=10.129.8.25
[2026-01-13 09:00:17] temp=20.00°C, ip=10.129.8.25
[2026-01-13 09:05:16] temp=19.00°C, ip=10.129.8.25
[2026-01-13 09:07:52] temp=19.00°C, ip=10.129.29.170
[2026-01-13 09:10:17] temp=20.00°C, ip=10.129.8.25
[2026-01-13 09:15:18] temp=20.00°C, ip=10.129.8.25
[2026-01-13 09:20:19] temp=20.00°C, ip=10.129.8.25
[2026-01-13 09:25:19] temp=19.00°C, ip=10.129.8.25
